"dist","good"
43,1
44,1
24,1
44,1
48,1
50,1
25,1
33,1
34,1
38,1
37,1
52,0
45,1
23,1
48,0
42,1
39,1
42,1
23,1
40,1
48,1
25,1
30,1
52,0
35,1
38,1
29,1
45,1
49,1
30,1
55,0
24,1
30,1
48,1
52,0
32,1
41,0
23,1
26,1
33,1
45,0
29,1
27,0
24,1
21,1
38,1
51,0
27,1
42,1
41,1
33,1
60,0
32,1
38,1
36,1
36,1
45,1
48,1
34,1
44,1
48,1
45,1
20,1
24,1
42,0
30,1
29,1
51,1
49,1
20,1
54,1
26,1
37,1
35,1
50,0
47,0
31,1
24,1
28,1
49,1
32,1
36,1
33,1
29,1
44,1
23,1
42,1
20,1
20,1
31,1
49,1
24,1
19,1
48,1
48,1
43,1
27,1
50,0
23,1
47,1
42,0
36,0
36,1
19,1
54,1
44,1
35,1
51,1
32,1
35,1
30,1
33,1
29,0
31,1
25,0
50,0
33,1
47,0
27,1
49,0
34,0
41,0
31,0
41,1
31,1
23,1
28,1
19,1
38,1
34,0
38,0
24,1
43,1
40,0
37,1
38,1
30,1
44,0
47,0
33,0
19,1
54,1
51,0
44,0
43,0
51,1
33,0
27,1
24,1
19,1
32,1
22,1
49,0
21,1
37,0
23,1
31,1
45,1
47,1
21,1
25,1
42,1
41,1
30,0
27,1
33,1
32,1
38,1
31,1
38,1
47,1
48,1
37,1
22,1
30,1
37,1
45,1
30,1
30,1
37,1
19,1
32,0
38,1
40,1
47,1
22,1
20,1
50,0
43,1
42,1
40,1
43,1
53,0
42,0
29,1
37,1
31,1
32,1
24,1
32,1
40,1
40,1
50,0
25,1
41,1
28,1
24,1
26,1
45,1
34,0
22,1
41,1
27,1
25,1
30,0
41,1
22,1
19,1
30,1
27,1
45,1
39,1
27,1
23,1
45,0
24,1
23,1
38,1
40,1
34,1
45,1
30,1
44,1
51,0
22,1
20,1
43,0
21,1
20,1
43,0
19,1
42,1
42,0
47,1
19,1
19,1
48,1
51,0
32,1
33,1
29,1
27,1
51,1
37,1
21,1
49,0
31,1
33,1
20,1
46,0
28,1
40,0
35,0
42,1
20,1
39,1
38,1
19,1
48,1
37,0
27,1
27,1
36,1
42,0
47,1
28,1
34,1
42,1
45,0
27,1
28,1
44,1
42,1
22,1
42,1
29,1
34,0
30,0
44,1
38,1
22,1
35,0
41,1
33,0
34,1
46,0
30,1
44,1
51,1
31,1
30,1
45,1
33,1
23,1
21,1
33,1
33,1
34,1
43,1
29,0
40,1
29,1
33,0
42,0
24,1
34,0
23,1
35,1
41,0
35,0
29,0
49,1
47,1
31,0
32,1
43,1
21,1
24,1
37,1
23,1
53,0
42,1
33,1
35,1
51,0
19,1
31,1
29,1
36,1
29,1
46,1
22,1
45,1
45,0
45,1
46,1
35,1
44,0
47,0
27,1
59,0
47,1
43,1
23,1
38,1
46,0
27,1
51,0
52,1
29,1
46,1
24,1
20,1
36,1
28,1
21,0
23,1
38,1
51,1
40,1
37,1
51,1
22,1
23,1
26,1
44,0
45,1
28,1
27,1
43,1
32,1
50,1
47,1
40,0
55,1
50,1
33,0
44,1
21,1
38,1
30,1
38,1
38,1
24,1
48,0
48,0
32,1
23,1
27,1
26,1
28,1
36,1
23,1
33,1
51,1
34,1
20,1
42,0
38,1
25,1
20,1
48,1
21,1
44,1
43,0
32,1
51,1
29,1
25,1
33,1
40,1
44,1
20,1
31,1
26,1
42,0
33,1
28,1
42,1
36,0
44,1
34,1
40,1
42,0
34,1
45,0
30,0
35,1
35,1
48,1
46,0
25,1
24,1
31,1
42,0
51,1
49,1
24,1
20,1
40,1
44,0
