"yfog","pnet"
25,39
26,33
14,34
29,33
30,44
40,36
49,31
59,21
28,57
19,46
43,54
36,41
37,30
22,39
22,46
47,31
59,21
23,38
18,46
24,35
34,45
34,38
21,45
22,47
54,35
40,39
41,2
30,43
19,30
43,37
31,41
20,44
18,35
46,46
65,15
15,36
44,36
45,44
45,35
28,26
10,61
20,12
46,34
56,24
25,25
18,22
65,19
16,57
30,53
21,45
33,7
65,22
23,42
42,38
37,35
44,28
65,26
52,29
16,40
46,31
57,36
52,29
41,9
58,32
59,21
57,23
51,40
16,-16
63,29
14,36
41,43
42,38
27,40
35,44
41,41
40,27
29,39
38,42
49,38
22,38
12,33
45,33
21,43
29,34
46,34
31,31
57,40
1,44
48,32
30,34
58,38
34,35
27,36
37,-37
24,32
37,41
61,33
35,31
40,37
22,36
41,47
15,49
18,47
42,37
7,42
52,32
32,55
15,33
47,38
20,65
22,46
44,45
52,45
54,29
26,43
50,30
45,35
41,39
58,40
37,34
58,22
40,38
19,34
44,33
49,31
19,29
24,40
48,37
44,36
57,32
19,56
54,26
20,41
63,24
35,40
48,51
40,27
30,52
50,34
25,37
33,46
35,45
29,44
50,37
2,38
14,46
43,32
30,35
39,29
41,30
46,46
9,34
40,47
34,34
32,27
50,31
14,33
13,37
4,43
29,32
38,31
52,34
17,39
25,34
28,-28
56,31
23,20
33,44
41,31
50,30
57,33
19,39
18,43
41,21
41,50
25,36
33,52
49,31
43,47
51,22
51,33
63,34
12,42
41,36
28,45
22,31
50,39
8,46
49,31
58,22
36,29
37,34
33,43
27,52
28,37
38,37
40,49
11,52
26,37
20,41
34,41
26,39
19,41
21,27
31,43
34,40
29,32
62,24
7,23
38,17
61,19
20,43
59,34
11,19
5,42
51,28
15,43
50,37
43,37
49,40
19,43
22,49
20,34
32,45
26,38
33,48
43,42
23,43
51,38
45,49
1,55
56,24
59,21
55,39
61,30
15,47
31,49
16,38
61,19
21,44
26,50
41,52
19,31
18,24
44,37
45,43
16,29
35,16
48,27
23,-2
15,20
50,30
33,29
47,23
45,35
35,18
35,36
1,24
52,24
45,38
31,37
48,33
12,43
59,38
8,41
43,37
40,32
16,42
48,42
25,33
28,25
53,27
30,35
65,15
35,37
59,36
19,28
1,46
68,23
31,41
45,40
63,17
33,43
27,29
50,36
40,58
9,-9
17,37
36,49
24,20
37,30
57,23
10,24
49,31
23,49
45,46
24,37
34,38
56,20
47,34
24,43
48,29
20,43
40,-19
42,49
34,45
40,34
51,29
45,35
28,38
59,26
57,22
31,39
46,43
38,47
7,37
21,40
33,42
29,35
50,30
62,18
17,44
40,42
63,35
5,32
42,41
14,19
63,34
59,37
49,48
11,12
52,13
52,32
25,35
46,-16
44,41
21,42
46,18
34,45
48,49
50,30
47,41
20,36
38,49
44,32
17,48
27,34
31,41
16,42
42,38
27,30
40,40
35,54
12,42
30,37
48,25
1,45
44,27
27,34
46,31
32,24
39,34
33,22
65,31
50,30
22,40
32,43
26,44
27,48
25,50
45,47
16,57
28,52
51,31
9,36
26,48
23,56
38,15
35,34
47,36
6,47
38,49
21,22
62,23
45,43
21,43
55,25
25,43
40,38
33,48
30,50
7,29
41,31
65,28
50,23
16,37
31,38
39,34
32,-32
38,45
17,40
19,28
37,38
24,56
44,37
36,32
29,35
34,39
16,24
60,20
43,37
29,36
34,31
15,47
36,41
25,35
56,36
35,45
38,33
40,8
32,41
53,27
40,23
56,24
46,34
24,50
38,49
48,32
36,40
57,23
21,32
43,30
39,45
54,32
36,46
33,47
35,41
31,9
22,29
54,26
46,39
23,48
29,41
34,36
25,48
30,45
22,40
25,32
39,47
30,50
40,47
47,41
66,14
34,28
36,27
48,34
22,24
21,20
39,30
39,47
25,34
34,22
42,45
49,7
53,27
29,34
40,29
59,21
62,18
44,13
44,50
21,20
20,29
28,24
65,15
47,52
3,45
57,41
27,35
47,39
30,48
58,39
2,40
46,34
40,40
28,44
40,34
6,38
20,36
51,36
32,-10
20,31
32,27
46,34
44,53
6,44
43,44
14,47
45,37
18,36
59,29
59,21
7,43
53,27
29,41
55,31
20,-20
62,35
27,38
31,34
56,24
27,39
48,22
37,38
12,54
44,47
18,28
25,38
51,29
23,43
36,51
45,43
22,27
31,42
28,49
57,39
4,46
53,38
19,39
40,45
42,42
38,25
29,49
28,27
56,28
25,43
35,35
37,31
20,53
29,37
50,41
31,46
29,51
28,40
26,40
38,33
46,34
38,9
42,44
20,46
56,24
37,40
28,41
34,46
48,32
28,52
25,39
24,31
45,32
53,32
28,36
64,28
13,53
16,48
65,15
30,44
30,36
37,43
50,30
65,21
56,33
29,46
34,52
52,34
43,40
57,41
1,43
27,51
29,43
36,44
25,51
56,30
23,39
5,38
19,50
52,21
62,18
19,38
46,34
66,14
37,42
15,38
61,27
49,31
30,27
49,36
11,36
47,48
24,42
39,47
40,45
26,46
65,16
23,31
37,36
30,50
34,64
1,42
40,7
48,41
15,35
30,32
40,55
37,25
18,30
26,50
34,39
47,43
24,50
22,43
62,18
48,32
26,37
51,40
7,56
51,30
8,29
27,44
38,33
35,37
63,17
62,28
8,32
22,16
22,42
35,49
29,36
6,46
50,30
21,34
34,22
53,36
10,40
56,24
28,37
24,38
53,46
47,43
17,38
43,44
51,31
32,52
24,-20
31,12
50,30
49,36
25,35
43,37
57,39
11,28
21,45
35,35
52,28
31,40
23,40
45,27
43,27
43,38
33,54
25,23
25,40
36,44
19,40
45,53
48,32
38,55
36,46
34,43
29,30
43,31
49,46
15,39
39,39
36,37
31,46
45,45
31,43
34,30
43,42
26,39
62,18
30,40
25,44
37,52
37,42
8,42
53,27
35,51
15,-7
50,35
55,24
27,34
31,37
28,36
45,40
36,39
62,30
49,37
17,-17
36,39
42,34
45,33
34,46
40,31
41,31
30,15
61,34
5,47
62,35
31,18
23,46
37,33
30,36
66,14
25,34
23,34
29,44
53,34
28,42
46,29
24,46
21,46
34,33
56,33
15,27
43,42
33,36
34,47
26,45
35,36
64,34
14,36
58,27
44,30
38,26
61,31
23,47
21,48
41,44
13,26
40,28
27,40
30,38
29,28
46,28
45,21
53,31
38,36
27,41
50,49
30,22
45,31
39,26
57,37
63,30
14,30
26,27
55,25
41,44
37,40
29,27
34,24
48,38
22,27
31,32
46,32
9,33
31,43
32,59
35,41
16,9
18,36
23,40
41,39
51,36
26,28
52,39
61,35
4,25
57,40
28,36
21,36
11,53
39,23
58,41
51,42
22,38
32,50
45,39
35,31
61,30
31,48
65,34
17,43
44,43
21,46
37,42
64,16
36,43
33,37
34,32
61,25
17,31
60,23
36,48
25,36
62,18
38,49
23,46
27,39
55,36
10,27
61,19
59,25
31,21
38,42
31,41
20,39
65,15
41,35
40,36
39,44
22,49
39,23
46,37
45,28
51,27
29,38
55,33
14,44
54,26
47,33
26,63
19,44
52,34
59,30
46,42
12,2
57,26
34,46
20,26
18,34
47,22
35,-11
50,39
28,21
53,27
43,43
35,39
41,27
52,11
63,17
23,37
57,23
21,33
12,37
50,46
19,41
42,27
59,40
44,44
22,50
24,37
18,41
27,40
