Player,Team,Pos,Min,Shots,UnAst.Percent,G,xG,G_xG_diff,KP,A,xA,xG_xA_sum,Touch.Percent,Year
Thierry Henry,NYRB,F,2448,65,0.2,14,8.01,5.99,32,2,4.53,12.53,0.067,2011
Landon Donovan,LA,F,2030,42,0.19,12,6.84,5.16,39,2,3.6,10.44,0.096,2011
Brek Shea,FCD,M,2858,75,0.2,11,6.94,4.06,37,4,4.96,11.9,0.093,2011
Camilo Da Silva Sanvezzo,VAN,F,2606,83,0.301,12,7.98,4.02,39,1,3.11,11.09,0.072,2011
Jeff Larentowicz,COL,M,3246,37,0.324,7,3.12,3.88,26,1,1.34,4.46,0.109,2011
Danny Koevermans,TOR,F,800,29,0.069,7,3.28,3.72,13,2,1.75,5.03,0.054,2011
Teal Bunbury,SKC,F,1838,65,0.154,9,5.73,3.27,22,3,1.38,7.11,0.069,2011
Emilio Renteria,CLB,F,1199,43,0.14,8,4.98,3.02,15,2,2.34,7.32,0.064,2011
Dwayne De Rosario,DCU,M,2932,112,0.33,16,13.06,2.94,58,10,6.39,19.44,0.098,2011
Conor Casey,COL,F,920,18,0.222,6,3.13,2.87,12,0,0.93,4.06,0.061,2011
Juan Pablo Angel,CHV,F,2441,78,0.192,10,7.16,2.84,22,1,1.72,8.88,0.066,2011
Andres Mendoza,CLB,F,2103,74,0.243,13,10.26,2.74,19,1,1.44,11.7,0.059,2011
Vitor Gomes Pereira Junior,LA,M,2697,39,0.333,4,1.32,2.68,23,1,2.22,3.53,0.111,2011
Joel Lindpere,NYRB,M,3205,54,0.204,7,4.36,2.64,58,6,5.17,9.53,0.091,2011
Lamar Neagle,SEA,M,1103,32,0.156,5,2.42,2.58,13,1,1.24,3.66,0.097,2011
Alan Gordon,SJ,F,780,20,0.25,5,2.43,2.57,10,0,1.36,3.79,0.078,2011
Nick LaBrocca,CHV,M,3241,77,0.312,8,5.58,2.42,46,5,3.41,8.99,0.084,2011
Sebastian Grazzini,CHI,M,815,21,0.19,5,2.69,2.31,23,4,3.33,6.02,0.103,2011
Charlie Davies,DCU,F,1630,34,0.294,11,8.75,2.25,16,1,1.45,10.2,0.048,2011
Graham Zusi,SKC,M,2490,47,0.34,5,2.97,2.03,62,2,4.78,7.75,0.107,2011
Sean Franklin,LA,D,2479,15,0.133,4,1.98,2.02,19,3,1.97,3.95,0.113,2011
Eric Brunner,POR,D,2960,18,0.167,4,2.08,1.92,9,1,1.46,3.54,0.086,2011
Jamie Smith,COL,M,1606,31,0.419,3,1.09,1.91,30,4,3.49,4.58,0.093,2011
Fredy Montero,SEA,F,2419,108,0.315,12,10.1,1.9,42,7,5.4,15.5,0.084,2011
Marco Pappa,CHI,M,2447,92,0.283,8,6.13,1.87,48,0,4.86,10.99,0.116,2011
Benny Feilhaber,NE,M,2192,36,0.389,4,2.19,1.81,32,6,3.18,5.37,0.113,2011
Dane Richards,NYRB,M,2459,51,0.333,7,5.33,1.67,25,6,2.59,7.92,0.06,2011
Mike Magee,LA,M,1869,28,0.107,5,3.35,1.65,17,0,1.43,4.78,0.084,2011
Fabian Espindola,RSL,F,2206,62,0.194,10,8.37,1.63,27,3,4.01,12.37,0.075,2011
Roger Torres,PHI,M,1019,24,0.292,3,1.37,1.63,26,2,2.65,4.02,0.116,2011
Andy Najar,DCU,M,2678,57,0.298,5,3.38,1.62,53,3,5.39,8.77,0.103,2011
Scott Palguta,COL,D,589,3,0.333,2,0.41,1.59,2,0,0.09,0.5,0.1,2011
Roger Levesque,SEA,M,1144,13,0.308,3,1.45,1.55,10,1,0.65,2.1,0.075,2011
Caleb Folan,COL,F,1643,40,0.25,6,4.48,1.52,13,2,1.44,5.93,0.062,2011
Alain Rochat,VAN,D,2584,21,0.333,3,1.5,1.5,17,1,1.63,3.13,0.118,2011
Wells Thompson,COL,M,2062,22,0.545,3,1.52,1.48,12,3,0.54,2.06,0.081,2011
Chris Wondolowski,SJ,F,2817,109,0.257,16,14.53,1.47,29,3,2.11,16.64,0.073,2011
Adam Moffat,HOU,M,1280,21,0.286,2,0.53,1.47,5,1,0.18,0.71,0.103,2011
Julian de Guzman,TOR,M,1401,16,0.375,2,0.55,1.45,9,2,0.58,1.14,0.118,2011
Alvaro Fernandez,SEA,M,1929,42,0.167,9,7.55,1.45,21,0,1.95,9.51,0.104,2011
Eddie Gaven,CLB,M,2335,58,0.172,5,3.56,1.44,43,1,3.28,6.84,0.105,2011
Ryan Guy,NE,M,657,8,0.125,2,0.56,1.44,15,0,1.21,1.77,0.091,2011
Jalil Anibaba,CHI,D,2663,11,0.364,2,0.6,1.4,8,1,0.51,1.11,0.103,2011
Chris Pontius,DCU,F,2214,53,0.283,7,5.6,1.4,24,4,2.37,7.97,0.098,2011
Kyle Beckerman,RSL,M,2644,33,0.242,3,1.63,1.37,55,7,4.09,5.73,0.127,2011
Danny Mwanga,PHI,F,1646,37,0.135,5,3.68,1.32,21,4,1.98,5.66,0.062,2011
Mauro Rosales,SEA,M,1974,18,0.333,5,3.71,1.29,66,10,8.65,12.36,0.097,2011
Julio Santos Correa,SKC,D,2288,9,0.556,2,0.74,1.26,10,2,0.6,1.33,0.095,2011
Eric Avila,TOR,M,1376,19,0.421,2,0.74,1.26,22,2,1.72,2.47,0.087,2011
Jorge Perlaza,POR,F,2240,34,0.176,6,4.75,1.25,33,2,2.8,7.55,0.052,2011
Colin Clark,HOU,M,1613,30,0.367,4,2.76,1.24,20,3,2.43,5.19,0.08,2011
Josh Gardner,CLB,M,1896,22,0.364,2,0.8,1.2,25,2,3.12,3.91,0.129,2011
Steven Lenhart,SJ,F,1228,34,0.235,5,3.8,1.2,19,2,2.97,6.76,0.074,2011
Stephen McCarthy,NE,M,1491,12,0.333,2,0.82,1.18,12,1,1.62,2.43,0.085,2011
Bobby Boswell,HOU,D,2611,22,0.182,5,3.88,1.12,7,1,0.78,4.67,0.091,2011
Chad Barrett,LA,F,1653,49,0.184,7,5.88,1.12,18,2,1.77,7.66,0.068,2011
Juan Agudelo,NYRB,F,1462,44,0.045,6,4.9,1.1,14,2,1.79,6.7,0.075,2011
Justin Braun,CHV,F,2168,69,0.13,8,6.91,1.09,22,4,2.36,9.27,0.073,2011
Samuel Ochoa,SEA,F,116,6,0,2,0.96,1.04,2,0,0.13,1.09,0.067,2011
Luke Rodgers,NYRB,F,1624,45,0.133,9,7.97,1.03,18,4,2.16,10.13,0.046,2011
Mamadou Danso,POR,D,2099,20,0.05,3,1.97,1.03,4,0,0.22,2.19,0.07,2011
Robbie Keane,LA,F,286,5,0,2,0.99,1.01,1,1,0.24,1.23,0.054,2011
Freddy Adu,PHI,F,650,15,0.333,2,1.01,0.99,10,1,0.77,1.78,0.088,2011
Eric Hassli,VAN,F,2059,72,0.153,10,9.02,0.98,27,1,1.44,10.46,0.087,2011
Radivoje Lekic,NE,F,1947,44,0.205,6,5.06,0.94,16,1,0.85,5.91,0.062,2011
Soony Saad,SKC,F,56,2,0.5,1,0.08,0.92,0,0,0,0.08,0.035,2011
Khari Stephenson,SJ,M,2359,78,0.385,5,4.09,0.91,25,2,1.73,5.82,0.094,2011
Dilly Duka,CLB,M,1454,26,0.269,2,1.11,0.89,28,1,2.28,3.39,0.102,2011
Justin Mapp,PHI,M,1928,29,0.31,3,2.11,0.89,28,3,3.33,5.43,0.093,2011
Monsef Zerka,NE,F,519,14,0.071,2,1.13,0.87,9,1,0.97,2.1,0.1,2011
Davide Chiumiento,VAN,M,1753,20,0.2,2,1.14,0.86,43,7,4.87,6.01,0.109,2011
Rodney Wallace,POR,D,2083,19,0.316,2,1.14,0.86,11,2,1.22,2.36,0.141,2011
David Ferreira,FCD,M,533,11,0.273,3,2.18,0.82,21,1,2.24,4.42,0.107,2011
Jack Jewsbury,POR,M,2947,47,0.426,7,6.19,0.81,53,3,4.49,10.68,0.097,2011
Luke Sassano,SKC,D,570,2,0,1,0.2,0.8,3,0,0.17,0.37,0.095,2011
Alex Dixon,HOU,M,106,2,0.5,1,0.21,0.79,0,0,0,0.21,0.091,2011
Jose Leonardo Ribeiro da Silva,LA,D,672,2,0,1,0.23,0.77,0,0,0,0.23,0.084,2011
David Beckham,LA,M,2342,29,0.793,2,1.24,0.76,64,11,6.77,8.01,0.128,2011
Ellis McLoughlin,SJ,F,202,7,0,1,0.25,0.75,2,0,0.08,0.33,0.073,2011
Marc Burch,DCU,D,1192,7,0.429,1,0.28,0.72,7,1,0.78,1.06,0.11,2011
