"gid","pid","off","def","type","qtr","min","sec","ptso","ptsd","dwn","ytg","yfog","zone","ptm","desc","seas","day","v","h","temp"
3990,652367,"PIT","NE","KOFF",1,15,0,0,0,0,0,0,0,NA,NA,2015,"THU","PIT","NE",65
3990,652368,"PIT","NE","RUSH",1,15,0,0,0,1,10,20,1,NA,NA,2015,"THU","PIT","NE",65
3990,652369,"PIT","NE","PASS",1,14,21,0,0,1,10,38,2,NA,NA,2015,"THU","PIT","NE",65
3990,652370,"PIT","NE","RUSH",1,14,4,0,0,2,1,47,3,NA,NA,2015,"THU","PIT","NE",65
3990,652371,"PIT","NE","PASS",1,13,26,0,0,1,10,51,3,NA,NA,2015,"THU","PIT","NE",65
3990,652372,"PIT","NE","RUSH",1,12,42,0,0,1,10,65,4,NA,NA,2015,"THU","PIT","NE",65
3990,652373,"PIT","NE","PASS",1,12,5,0,0,1,10,76,4,NA,NA,2015,"THU","PIT","NE",65
3990,652374,"PIT","NE","NOPL",1,11,20,0,0,2,18,68,4,"PIT","Offensive Holding",2015,"THU","PIT","NE",65
3990,652375,"PIT","NE","RUSH",1,10,53,0,0,2,28,58,3,NA,NA,2015,"THU","PIT","NE",65
3990,652376,"PIT","NE","PASS",1,10,28,0,0,3,22,64,4,NA,NA,2015,"THU","PIT","NE",65
3990,652377,"PIT","NE","FGXP",1,9,44,0,0,4,12,74,4,NA,NA,2015,"THU","PIT","NE",65
3990,652378,"NE","PIT","PASS",1,9,40,0,0,1,10,34,2,"NE","Unnecessary Roughness",2015,"THU","PIT","NE",65
3990,652379,"NE","PIT","PASS",1,9,14,0,0,1,10,32,2,NA,NA,2015,"THU","PIT","NE",65
3990,652380,"NE","PIT","PASS",1,9,0,0,0,1,10,44,3,NA,NA,2015,"THU","PIT","NE",65
3990,652381,"NE","PIT","PASS",1,8,31,0,0,1,10,57,3,NA,NA,2015,"THU","PIT","NE",65
3990,652382,"NE","PIT","PASS",1,8,27,0,0,2,10,57,3,NA,NA,2015,"THU","PIT","NE",65
3990,652383,"NE","PIT","PASS",1,8,22,0,0,3,10,57,3,NA,NA,2015,"THU","PIT","NE",65
3990,652384,"PIT","NE","PUNT",1,7,48,0,0,4,10,57,3,NA,NA,2015,"THU","PIT","NE",65
3990,652385,"PIT","NE","RUSH",1,7,41,0,0,1,10,7,1,NA,NA,2015,"THU","PIT","NE",65
3990,652386,"PIT","NE","RUSH",1,7,7,0,0,2,4,13,1,NA,NA,2015,"THU","PIT","NE",65
3990,652387,"PIT","NE","PASS",1,6,26,0,0,3,5,12,1,NA,NA,2015,"THU","PIT","NE",65
3990,652388,"PIT","NE","NOPL",1,5,54,0,0,1,10,22,2,"PIT","Illegal Formation",2015,"THU","PIT","NE",65
3990,652389,"PIT","NE","PASS",1,5,29,0,0,1,15,17,1,NA,NA,2015,"THU","PIT","NE",65
3990,652390,"PIT","NE","PASS",1,4,48,0,0,2,12,20,1,NA,NA,2015,"THU","PIT","NE",65
3990,652391,"PIT","NE","PASS",1,4,3,0,0,3,18,14,1,NA,NA,2015,"THU","PIT","NE",65
3990,652392,"NE","PIT","PUNT",1,3,25,0,0,4,1,31,2,"NE","Illegal Block Above the Waist",2015,"THU","PIT","NE",65
3990,652393,"NE","PIT","RUSH",1,3,14,0,0,1,10,10,1,NA,NA,2015,"THU","PIT","NE",65
3990,652394,"NE","PIT","RUSH",1,2,40,0,0,2,2,18,1,NA,NA,2015,"THU","PIT","NE",65
3990,652395,"NE","PIT","RUSH",1,2,5,0,0,3,1,19,1,NA,NA,2015,"THU","PIT","NE",65
3990,652396,"NE","PIT","NOPL",1,1,14,0,0,1,10,20,1,"NE","Offensive Holding",2015,"THU","PIT","NE",65
3990,652397,"NE","PIT","PASS",1,0,45,0,0,1,20,10,1,NA,NA,2015,"THU","PIT","NE",65
3990,652398,"NE","PIT","PASS",1,0,12,0,0,2,11,19,1,NA,NA,2015,"THU","PIT","NE",65
3990,652399,"NE","PIT","RUSH",2,15,0,0,0,3,2,28,2,NA,NA,2015,"THU","PIT","NE",65
3990,652400,"NE","PIT","RUSH",2,14,30,0,0,1,10,37,2,NA,NA,2015,"THU","PIT","NE",65
