period,minute,second,possession,duration,possession_team.name,play_pattern.id,play_pattern.name,player.id,player.name,position.name,shot.statsbomb_xg,shot.first_time,shot.technique.name,shot.outcome.name,shot.type.name,shot.body_part.name,match_id,location.x,location.y,location.x.GK,location.y.GK,player.name.GK,DistToGoal,DistToKeeper,AngleToGoal,avevelocity,distance.ToD1,DefendersBehindBall,TimeInPoss
1,1,0,4,0.14,Korea Republic Women's,3,From Free Kick,22798,So-Hyun Cho,Left Defensive Midfield,0.001782366,TRUE,Volley,Blocked,Open Play,Right Foot,22921,84.8,42.1,118.4,39.8,Sarah Bouhaddi,35.262586405424095,1.6124515496597045,93.41416737972641,13.170777796132674,2.220360331117455,7,4.030999999999999
1,1,41,5,1.715378,France Women's,1,Regular Play,10123,Amandine Henry,Right Defensive Midfield,0.015996473,TRUE,Normal,Off T,Open Play,Right Foot,22921,104.3,21.5,118.8,38.5,Min-Jeong Kim,24.26396505107935,1.9209372712298562,40.3195563817467,17.160283074092153,3.125699921617565,4,39.668
1,2,39,7,0.0683,France Women's,1,Regular Play,10121,Eugénie Le Sommer,Left Midfield,0.01490969,NA,Normal,Blocked,Open Play,Right Foot,22921,92.8,34.7,118.8,39.9,Min-Jeong Kim,27.71154993860863,1.2041594578792325,78.97390841458743,28.428239881328917,2.5000000000000044,7,21.418999999999983
1,6,36,17,1.22717,France Women's,6,From Counter,10121,Eugénie Le Sommer,Left Midfield,0.051120624,NA,Normal,Saved,Open Play,Right Foot,22921,101,40.7,117.9,40.4,Min-Jeong Kim,19.012890364171355,2.1377558326431894,92.10994284813322,13.798498718990269,2.3086792761230406,3,8.223000000000013
1,8,52,24,0.930804,France Women's,1,Regular Play,10121,Eugénie Le Sommer,Left Midfield,0.31152636,TRUE,Normal,Goal,Open Play,Right Foot,22921,112.1,43.8,117.9,41.8,Min-Jeong Kim,8.76641317757725,2.76586333718786,115.6881434356473,9.078650043757014,4.159326868617092,3,7.629000000000019
1,12,16,31,0.5277,France Women's,2,From Corner,10137,Kadidiatou Diani,Right Center Forward,0.011825991,TRUE,Half Volley,Blocked,Open Play,Right Foot,22921,97.1,50.9,119.2,40.9,Min-Jeong Kim,25.361782271756855,1.2041594578792265,115.45363226665815,26.63020226733551,5.1,10,4.928999999999974
1,12,21,31,1.32531,France Women's,2,From Corner,15470,Delphine Cascarino,Right Midfield,0.015174206,TRUE,Half Volley,Saved,Open Play,Right Foot,22921,113.5,55.1,119.5,43.1,Min-Jeong Kim,16.439586369492392,3.1400636936215176,156.70988275987125,9.685489974977484,1.6031219541881407,5,10.281999999999925
1,21,33,46,0.2569,France Women's,2,From Corner,10137,Kadidiatou Diani,Right Center Forward,0.009996625,TRUE,Half Volley,Blocked,Open Play,Right Foot,22921,95.7,50.1,119.4,40.3,Min-Jeong Kim,26.315394733881533,0.6708203932499306,112.56962019665845,6.651618330336712,2.517935662402835,10,4.346000000000004
1,21,50,46,1.692026,France Women's,2,From Corner,10271,Griedge Mbock Bathy Nka,Right Center Back,0.07264609,NA,Overhead Kick,Off T,Open Play,Left Foot,22921,109.7,42.9,118.7,40.6,Min-Jeong Kim,10.700467279516346,1.4317821063276335,105.72474572274744,8.281277944706762,3.114482300479487,2,21.955000000000155
1,31,2,59,1.842727,France Women's,4,From Throw In,10137,Kadidiatou Diani,Right Center Forward,0.031018032,NA,Volley,Off T,Open Play,Right Foot,22921,108.2,51.2,119.1,41,Min-Jeong Kim,16.2689889052762,1.345362404707375,133.50566640873348,6.524060835331381,0.7211102550927944,6,28.614000000000033
1,31,55,61,0.0364,France Women's,1,Regular Play,15470,Delphine Cascarino,Right Midfield,0.005255779,NA,Normal,Blocked,Open Play,Right Foot,22921,105.8,57.3,119.4,42.6,Min-Jeong Kim,22.381465546295217,2.668332812825267,140.620533828592,39.04579781195574,1.94164878389476,8,16.698000000000093
1,32,35,62,1.3491,France Women's,2,From Corner,10137,Kadidiatou Diani,Right Center Forward,0.008882045,NA,Normal,Off T,Open Play,Right Foot,22921,101,57.3,119.2,41.6,Min-Jeong Kim,25.696108654813862,1.7888543819998317,132.3186856823245,18.269447948032887,1.64924225024706,10,6.323999999999842
