Team,Year,GameMinute,Kicker,Distance,ScoreDiff,Grass,Success
PHI,2005,3,Akers,49,0,FALSE,0
PHI,2005,29,Akers,49,-7,FALSE,0
PHI,2005,51,Akers,44,-7,FALSE,1
PHI,2005,14,Akers,43,14,TRUE,0
PHI,2005,60,Akers,23,0,TRUE,1
PHI,2005,39,Akers,34,-3,TRUE,1
PHI,2005,37,Akers,48,7,TRUE,1
PHI,2005,51,Akers,20,10,TRUE,1
PHI,2005,60,Akers,60,-1,TRUE,0
PHI,2005,44,Akers,20,-6,FALSE,1
PHI,2005,60,Akers,38,-10,FALSE,0
PHI,2005,8,Akers,44,0,TRUE,1
PHI,2005,39,Akers,38,-4,TRUE,1
PHI,2005,56,Akers,37,-1,TRUE,1
PHI,2005,59,Akers,33,2,TRUE,1
PHI,2005,30,Akers,42,-3,TRUE,1
PHI,2005,34,Akers,49,0,TRUE,0
PHI,2005,54,Akers,36,-6,TRUE,1
PHI,2005,59,Akers,50,-3,TRUE,1
PHI,2005,42,Akers,31,-9,FALSE,1
PHI,2005,5,Akers,49,0,TRUE,1
PHI,2005,37,Akers,35,0,TRUE,1
TEN,2005,21,Bironas,47,-3,TRUE,0
TEN,2005,17,Bironas,39,7,TRUE,1
TEN,2005,30,Bironas,29,10,TRUE,1
TEN,2005,38,Bironas,47,10,TRUE,1
TEN,2005,11,Bironas,41,7,FALSE,1
TEN,2005,54,Bironas,39,-7,FALSE,1
TEN,2005,10,Bironas,34,-7,TRUE,1
TEN,2005,45,Bironas,38,-21,TRUE,0
TEN,2005,28,Bironas,52,1,TRUE,1
TEN,2005,46,Bironas,49,15,TRUE,1
TEN,2005,28,Bironas,24,7,TRUE,1
TEN,2005,56,Bironas,29,0,TRUE,1
TEN,2005,60,Bironas,47,-11,TRUE,1
TEN,2005,13,Bironas,53,7,TRUE,1
TEN,2005,30,Bironas,39,-12,TRUE,1
TEN,2005,53,Bironas,24,-5,TRUE,1
TEN,2005,26,Bironas,50,-7,TRUE,0
