Name	Position	Team	Games	Season	Age	Salary	Goals	Assists	Goals_Sixty	Assists_Sixty	CF_Percent	PDO	SH_Percent	CFRel_Percent	CF_Percent	Corsi	CorsiFor	CorsiAgainst	Shots	TOI
Spencer.Abbott	R	TOR	1	20132014	25	0.65	0	0	0	0	29.41	77.78	0	-19.48	48.89	-7	5	12	2	5.46
Justin.Abdelkader	RL	DET	2	20072008	20	0.85	0	0	0	0	52.78	98.6	0	-8.88	61.65	2	19	17	6	21.65
Justin.Abdelkader	RL	DET	12	20082009	21	0.66	2	1	1.33	0.66	57.66	103.74	15.38	0.41	57.26	21	79	58	11	90.28
Justin.Abdelkader	RL	DET	61	20092010	22	0.71	4	4	0.44	0.44	51.77	95.85	4.94	-1.82	53.59	32	468	436	77	547.18
Justin.Abdelkader	RL	DET	85	20102011	23	0.75	7	11	0.47	0.74	53.56	100.82	5.19	0.33	53.23	116	872	756	128	896.47
Justin.Abdelkader	RL	DET	86	20112012	24	0.825	8	14	0.51	0.9	53.53	99.63	6.56	-1.92	55.45	112	850	738	114	934.13
Justin.Abdelkader	RL	DET	60	20122013	25	1.4	9	4	0.67	0.3	56.26	101.5	7.63	5.66	50.6	170	764	594	109	811.34
Justin.Abdelkader	RL	DET	75	20132014	26	1.55	9	17	0.53	1	51.17	101.33	6.29	0.08	51.09	41	895	854	134	1022.48
Justin.Abdelkader	RL	DET	76	20142015	27	2	13	13	0.78	0.78	56.19	100.27	11.82	3.86	52.33	194	881	687	97	999.97
Justin.Abdelkader	RL	DET	73	20152016	28	2.25	11	14	0.69	0.88	49.72	100.33	11	-2.87	52.59	-9	807	816	89	957.1
Will.Acton	C	EDM	30	20132014	26	0.68	3	2	0.99	0.66	39.31	101.48	17.65	-8.04	47.35	-62	114	176	14	182.03
Will.Acton	C	EDM	3	20142015	27	0.65	0	0	0	0	44.68	81.11	0	-10.27	54.95	-5	21	26	2	27.66
Craig.Adams	C	CAR/CHI	75	20072008	30	0.6	2	5	0.2	0.49	44.54	94.2	4	-7	51.53	-107	436	543	48	606.96
Craig.Adams	C	CHI/PIT	69	20082009	31	0.6	2	4	0.23	0.47	49.94	96.08	3.12	-2.61	52.56	-1	435	436	62	512.38
Craig.Adams	C	PIT	94	20092010	32	0.55	2	9	0.15	0.69	45.58	99.19	2.82	-8.57	54.16	-114	588	702	69	778.08
Craig.Adams	C	PIT	87	20102011	33	0.55	2	7	0.15	0.53	47.5	96.85	2.53	-7.26	54.76	-66	626	692	77	788.66
Craig.Adams	C	PIT	87	20112012	34	0.725	5	10	0.43	0.85	49.18	97.26	7.46	-6.06	55.24	-18	537	555	62	703.84
Craig.Adams	C	PIT	63	20122013	35	0.625	1	7	0.11	0.8	42.29	99.53	1.96	-7.72	50.01	-129	354	483	50	526.08
Craig.Adams	C	PIT	95	20132014	36	0.55	4	4	0.28	0.28	41.76	95.71	5.26	-9.33	51.09	-216	547	763	72	848.13
Craig.Adams	C	PIT	70	20142015	37	0.85	1	5	0.12	0.61	47.65	98.72	2.27	-5.95	53.6	-35	355	390	43	492.3
Kevyn.Adams	C	CHI	27	20072008	32	NA	0	0	0	0	45.67	91.24	0	-3.57	49.24	-25	132	157	28	214.63
Luke.Adam	L	BUF	19	20102011	20	0.688	3	0	0.99	0	43.97	96.65	12	-5.81	49.78	-42	153	195	22	182.21
Luke.Adam	L	BUF	52	20112012	21	0.738	10	7	1.08	0.76	49.47	100.3	14.29	1.32	48.16	-10	471	481	60	553.67
Luke.Adam	L	BUF	4	20122013	22	0.787	1	0	1.58	0	32.84	114.61	100	-15.25	48.09	-23	22	45	0	37.99
Luke.Adam	L	BUF	12	20132014	23	0.735	1	0	0.42	0	50.21	101.12	6.67	6.22	43.99	1	118	117	14	144.22
Luke.Adam	L	CBJ	3	20142015	24	0.65	0	0	0	0	50	100	NA	2.84	47.16	0	9	9	0	17.18
Maxim.Afinogenov	R	BUF	55	20072008	28	3.5	9	9	0.81	0.81	54.76	94.13	10.84	6.92	47.84	110	633	523	74	665.81
Maxim.Afinogenov	R	BUF	48	20082009	29	3.5	5	7	0.61	0.86	52.36	98.12	6.25	2.52	49.84	43	477	434	75	488.36
Maxim.Afinogenov	R	ATL	82	20092010	30	0.8	15	24	0.83	1.33	48.26	99.89	12.1	-0.47	48.74	-70	972	1042	109	1080.53
Kenny.Agostino	L	CGY	8	20132014	21	0.9	1	1	0.71	0.71	43.37	97.03	8.33	0.42	42.96	-22	72	94	11	84.56
Kenny.Agostino	L	CGY	2	20152016	23	0.83	0	0	0	0	55	91.67	0	9.33	45.67	4	22	18	3	23.57
Andrew.Agozzino	LC	COL	1	20142015	23	0.59	0	1	0	5.53	36.36	120	0	-15.69	52.05	-6	8	14	1	10.84
