home_team,posteam,defteam,play_type,pass_attempt,qb_spike,pass_length,air_yards,passer_player_name,complete_pass,season
NE,NE,KC,pass,1,0,deep,27,T.Brady,0,2017
NE,NE,KC,pass,1,0,short,1,T.Brady,1,2017
NE,NE,KC,pass,1,0,deep,18,T.Brady,1,2017
NE,NE,KC,pass,1,0,short,6,T.Brady,1,2017
NE,NE,KC,pass,1,0,short,2,T.Brady,0,2017
NE,NE,KC,pass,1,0,deep,27,T.Brady,0,2017
NE,NE,KC,pass,1,0,short,2,T.Brady,1,2017
NE,NE,KC,pass,1,0,deep,17,T.Brady,0,2017
NE,NE,KC,pass,1,0,short,5,T.Brady,1,2017
NE,KC,NE,pass,1,0,short,1,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,4,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,-1,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,1,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,11,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,2,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,0,A.Smith,0,2017
NE,KC,NE,pass,1,0,short,7,A.Smith,1,2017
NE,NE,KC,pass,1,0,deep,24,T.Brady,1,2017
NE,NE,KC,pass,1,0,short,1,T.Brady,1,2017
NE,NE,KC,pass,1,0,short,12,T.Brady,0,2017
NE,KC,NE,pass,1,0,deep,16,A.Smith,0,2017
NE,NE,KC,pass,1,0,short,7,T.Brady,1,2017
NE,NE,KC,pass,1,0,deep,26,T.Brady,0,2017
NE,NE,KC,pass,1,0,short,14,T.Brady,1,2017
NE,NE,KC,pass,1,0,deep,16,T.Brady,0,2017
NE,NE,KC,pass,1,0,short,7,T.Brady,0,2017
NE,KC,NE,pass,1,0,short,3,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,13,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,6,A.Smith,1,2017
NE,KC,NE,pass,1,0,deep,16,A.Smith,0,2017
NE,KC,NE,pass,1,0,short,11,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,1,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,2,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,8,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,-3,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,0,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,-3,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,-6,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,2,A.Smith,1,2017
NE,NE,KC,pass,1,0,deep,30,T.Brady,0,2017
NE,NE,KC,pass,1,0,short,-6,T.Brady,1,2017
NE,NE,KC,pass,1,0,deep,17,T.Brady,0,2017
NE,KC,NE,pass,1,0,deep,41,A.Smith,1,2017
NE,NE,KC,pass,1,0,deep,42,T.Brady,0,2017
NE,NE,KC,pass,1,0,short,15,T.Brady,1,2017
NE,NE,KC,pass,1,0,short,-8,T.Brady,0,2017
NE,NE,KC,pass,1,0,short,3,T.Brady,0,2017
NE,KC,NE,pass,1,0,deep,33,A.Smith,0,2017
NE,KC,NE,pass,1,0,short,12,A.Smith,0,2017
NE,NE,KC,pass,1,0,short,15,T.Brady,1,2017
NE,KC,NE,pass,1,0,short,2,A.Smith,1,2017
NE,NE,KC,pass,1,0,deep,52,T.Brady,1,2017
NE,KC,NE,pass,1,0,short,2,A.Smith,1,2017
NE,KC,NE,pass,1,0,deep,31,A.Smith,1,2017
NE,NE,KC,pass,1,0,short,5,T.Brady,1,2017
NE,NE,KC,pass,1,0,short,2,T.Brady,1,2017
NE,NE,KC,pass,1,0,short,8,T.Brady,0,2017
NE,NE,KC,pass,1,0,short,-6,T.Brady,1,2017
NE,KC,NE,pass,1,0,deep,16,A.Smith,0,2017
NE,KC,NE,pass,1,0,short,3,A.Smith,1,2017
NE,NE,KC,pass,1,0,deep,26,T.Brady,0,2017
NE,NE,KC,pass,1,0,deep,38,T.Brady,0,2017
NE,NE,KC,pass,1,0,short,10,T.Brady,0,2017
NE,KC,NE,pass,1,0,short,4,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,-2,A.Smith,1,2017
NE,KC,NE,pass,1,0,deep,22,A.Smith,1,2017
NE,KC,NE,pass,1,0,short,0,A.Smith,0,2017
NE,KC,NE,pass,1,0,short,5,A.Smith,1,2017
NE,NE,KC,pass,1,0,deep,52,T.Brady,0,2017
NE,NE,KC,pass,1,0,short,4,T.Brady,0,2017
BUF,BUF,NYJ,pass,1,0,deep,20,T.Taylor,0,2017
BUF,BUF,NYJ,pass,1,0,short,7,T.Taylor,1,2017
BUF,BUF,NYJ,pass,1,0,short,11,T.Taylor,0,2017
BUF,BUF,NYJ,pass,1,0,short,-4,T.Taylor,1,2017
BUF,BUF,NYJ,pass,1,0,short,-2,T.Taylor,0,2017
BUF,BUF,NYJ,no_play,1,0,short,8,T.Taylor,0,2017
BUF,NYJ,BUF,pass,1,0,short,3,J.McCown,1,2017
BUF,NYJ,BUF,pass,1,0,short,0,J.McCown,1,2017
BUF,BUF,NYJ,pass,1,0,short,14,T.Taylor,1,2017
BUF,BUF,NYJ,pass,1,0,short,-4,T.Taylor,1,2017
BUF,NYJ,BUF,pass,1,0,short,3,J.McCown,1,2017
BUF,NYJ,BUF,pass,1,0,short,-2,J.McCown,1,2017
BUF,BUF,NYJ,pass,1,0,short,5,T.Taylor,0,2017
BUF,BUF,NYJ,pass,1,0,short,12,T.Taylor,1,2017
BUF,BUF,NYJ,pass,1,0,short,4,T.Taylor,1,2017
BUF,BUF,NYJ,pass,1,0,short,1,T.Taylor,1,2017
BUF,BUF,NYJ,pass,1,0,short,1,T.Taylor,1,2017
BUF,NYJ,BUF,pass,1,0,short,-1,J.McCown,0,2017
BUF,NYJ,BUF,pass,1,0,deep,20,J.McCown,1,2017
BUF,NYJ,BUF,pass,1,0,short,-3,J.McCown,1,2017
BUF,NYJ,BUF,pass,1,0,short,12,J.McCown,1,2017
BUF,NYJ,BUF,pass,1,0,short,-6,J.McCown,1,2017
BUF,NYJ,BUF,pass,1,0,short,0,J.McCown,1,2017
BUF,NYJ,BUF,pass,1,0,short,5,J.McCown,1,2017
BUF,BUF,NYJ,pass,1,0,deep,21,T.Taylor,1,2017
BUF,BUF,NYJ,pass,1,0,short,10,T.Taylor,0,2017
BUF,NYJ,BUF,pass,1,0,short,2,J.McCown,0,2017
BUF,NYJ,BUF,pass,1,0,short,10,J.McCown,1,2017
BUF,NYJ,BUF,pass,1,0,short,1,J.McCown,1,2017
BUF,NYJ,BUF,pass,1,0,short,14,J.McCown,0,2017
